txn_id,account_id,txn_type,amount
1110,8582,Debit,4221
1111,7671,Credit,41515
1112,14932,Credit,5820
1113,14301,Credit,16260
1114,4071,Debit,7034
1115,11870,Debit,400
1116,742,Credit,11790
1117,14706,Debit,36974
1118,5712,Credit,3456
1119,7104,Debit,21162
1120,5748,Debit,16324
1121,11165,Debit,5690
1122,12390,Credit,49461
1123,3663,Credit,45692
1124,5344,Credit,20229
1125,7944,Credit,48851
1126,4421,Debit,46853
1127,11215,Credit,19871
1128,14735,Credit,27116
1129,12417,Debit,28066
1130,12023,Credit,38343
1131,14852,Credit,4678
1132,7951,Credit,7916
1133,3444,Debit,45714
1134,7543,Credit,33468
1135,942,Debit,43956
1136,7789,Debit,20699
1137,14146,Debit,42300
1138,8926,Credit,34754
1139,1983,Credit,6459
1140,1979,Credit,24827
1141,9320,Debit,5530
1142,2633,Debit,25087
1143,2746,Debit,9476
1144,13287,Debit,42750
1145,10881,Debit,30766
1146,2226,Debit,29279
1147,1558,Credit,43700
1148,8970,Debit,39032
1149,4561,Credit,47753
1150,6237,Credit,14680
1151,11384,Debit,171
1152,8301,Credit,24672
1153,2812,Debit,30682
1154,1688,Debit,45220
1155,3848,Debit,41514
1156,8704,Credit,4793
1157,4120,Credit,2541
1158,10510,Credit,11608
1159,5262,Debit,7634
1160,12629,Debit,3762
1161,14797,Debit,49213
1162,9414,Debit,25916
1163,5613,Credit,25092
1164,2758,Credit,19446
1165,2205,Credit,45170
1166,11581,Credit,5026
1167,1720,Debit,16196
1168,7384,Credit,25341
1169,13566,Credit,46157
1170,2080,Credit,21460
1171,4928,Debit,20970
1172,5416,Credit,32990
1173,752,Credit,39687
1174,1751,Debit,12027
1175,14822,Debit,16921
1176,14196,Debit,27277
1177,10062,Credit,38337
1178,3813,Credit,39830
1179,1613,Debit,47347
1180,11936,Debit,22988
1181,9486,Debit,30485
1182,9693,Credit,962
1183,13421,Credit,38564
1184,14179,Debit,37829
1185,2600,Credit,46555
1186,595,Credit,36109
1187,10684,Credit,9599
1188,14036,Debit,33997
1189,4336,Credit,11807
1190,2697,Credit,44026
1191,13796,Credit,47930
1192,10445,Credit,2754
1193,4031,Debit,22448
1194,10656,Debit,39052
1195,6013,Credit,48806
1196,10906,Credit,6036
1197,8477,Credit,29126
1198,14466,Debit,11703
1199,1280,Debit,45468
1200,6846,Credit,29994
1201,12003,Credit,16691
1202,13213,Credit,7072
1203,5245,Debit,38961
1204,8702,Debit,22073
1205,1159,Credit,41278
1206,12478,Debit,8623
1207,3645,Debit,39186
1208,12311,Credit,20217
1209,8140,Credit,40134
1210,14662,Debit,288
1211,14786,Debit,16219
1212,10369,Credit,38786
1213,10859,Credit,45560
1214,14694,Credit,31408
1215,1699,Debit,48313
1216,7484,Debit,40535
1217,10871,Credit,41170
1218,9795,Credit,18560
1219,11711,Credit,1637
1220,3983,Credit,315
1221,9044,Debit,1118
1222,1779,Credit,538
1223,3253,Debit,48144
1224,12728,Debit,16362
1225,12539,Credit,40861
1226,11278,Credit,40898
1227,3410,Debit,36687
1228,10838,Credit,38355
1229,7077,Debit,9220
1230,12733,Credit,2918
1231,11856,Credit,27705
1232,7721,Credit,48528
1233,1976,Debit,17834
1234,9095,Credit,29469
1235,12267,Credit,8425
1236,4044,Debit,3306
1237,11287,Debit,1082
1238,9500,Debit,3387
1239,14606,Credit,49859
1240,11707,Debit,39920
1241,15052,Debit,11669
1242,12883,Debit,14088
1243,8693,Credit,2907
1244,12371,Debit,41610
1245,10132,Debit,28371
1246,8313,Credit,39499
1247,9354,Credit,19368
1248,3753,Credit,474
1249,7377,Credit,49963
1250,1676,Debit,18692
1251,14256,Credit,4419
1252,12381,Credit,14609
1253,3580,Credit,43308
1254,1095,Credit,48064
1255,4782,Debit,28120
1256,10713,Credit,29475
1257,12929,Credit,5655
1258,6946,Debit,36979
1259,9427,Credit,46237
1260,1002,Debit,24418
1261,4135,Debit,15064
1262,11825,Debit,21674
1263,14325,Credit,12878
1264,5863,Debit,6075
1265,4808,Debit,24789
1266,13593,Credit,13876
1267,11932,Credit,40029
1268,7537,Debit,19094
1269,13243,Credit,38663
1270,4037,Credit,41391
1271,4807,Debit,17479
1272,7310,Debit,14954
1273,9477,Debit,6177
1274,12328,Debit,32123
1275,4845,Credit,33994
1276,8968,Credit,2812
1277,6851,Debit,35335
1278,5157,Credit,6887
1279,9446,Credit,39068
1280,13647,Credit,32887
1281,9139,Credit,28701
1282,2301,Credit,34384
1283,9663,Credit,22793
1284,5084,Credit,815
1285,7923,Debit,42307
1286,1206,Credit,334
1287,10761,Debit,6385
1288,9232,Credit,12933
1289,3888,Credit,20644
1290,6741,Credit,8802
1291,6853,Credit,47803
1292,5961,Credit,6749
1293,4012,Debit,40963
1294,6422,Debit,43876
1295,1928,Credit,9102
1296,8822,Credit,41168
1297,996,Credit,8024
1298,6988,Credit,34796
1299,12478,Credit,22247
1300,2541,Debit,34374
1301,1910,Credit,12020
1302,1310,Debit,34013
1303,6710,Debit,24962
1304,5300,Debit,29068
1305,3637,Credit,16713
1306,4148,Debit,34273
1307,3618,Debit,39896
1308,7430,Credit,49717
1309,2845,Credit,16118
1310,869,Credit,4745
1311,7387,Debit,8129
1312,7392,Debit,42385
1313,3614,Credit,47290
1314,1855,Credit,42707
1315,4981,Debit,29873
1316,5386,Credit,5587
1317,1118,Credit,31692
1318,8473,Debit,8474
1319,11885,Debit,22848
1320,2730,Debit,12343
1321,13897,Debit,38063
1322,8587,Credit,16195
1323,15004,Debit,7691
1324,14359,Debit,23460
1325,13062,Credit,20292
1326,10083,Debit,17621
1327,3914,Debit,1527
1328,4310,Credit,36943
1329,4153,Credit,37173
1330,6641,Credit,1454
1331,4435,Debit,18145
1332,14639,Credit,15745
1333,12553,Credit,6304
1334,12674,Debit,37046
1335,9481,Debit,14905
1336,13407,Credit,29409
1337,7997,Debit,42718
1338,13152,Credit,7314
1339,8126,Debit,42244
1340,11664,Debit,3842
1341,9533,Credit,49142
1342,4921,Debit,20829
1343,13486,Debit,35530
1344,13728,Debit,4701
1345,7984,Debit,8551
1346,13030,Credit,19892
1347,13891,Credit,20195
1348,5273,Credit,30439
1349,14771,Credit,28924
1350,1669,Debit,13705
1351,5321,Debit,39098
1352,203,Credit,23357
1353,8317,Credit,26737
1354,12189,Debit,11283
1355,1068,Debit,25218
1356,13319,Debit,49615
1357,11816,Credit,17575
1358,8158,Debit,47326
1359,14117,Credit,43417
1360,7988,Debit,9193
1361,3501,Debit,10527
1362,10073,Credit,15055
1363,4232,Credit,22221
1364,10702,Credit,1292
1365,10804,Debit,25663
1366,9819,Debit,32746
1367,10537,Debit,17662
1368,799,Credit,33529
1369,6356,Credit,38131
1370,6581,Credit,36659
1371,4070,Debit,19245
1372,6896,Credit,24491
1373,7915,Debit,17795
1374,6845,Debit,42720
1375,162,Debit,37502
1376,4317,Debit,32780
1377,10498,Credit,20737
1378,13728,Debit,42588
1379,13762,Debit,31679
1380,8033,Credit,6794
1381,15017,Debit,26848
1382,1272,Debit,30832
1383,13754,Debit,47868
1384,14302,Debit,27513
1385,4903,Debit,39236
1386,4196,Credit,20800
1387,10556,Credit,32559
1388,12307,Debit,38296
1389,12411,Credit,28190
1390,12647,Credit,37104
1391,7520,Credit,15950
1392,2197,Credit,23222
1393,14183,Credit,43965
1394,1541,Debit,27704
1395,6118,Credit,535
1396,1190,Credit,25205
1397,7259,Debit,13263
1398,12197,Debit,41512
1399,14734,Credit,43098
1400,11706,Credit,35110
1401,8853,Credit,3453
1402,9968,Credit,46828
1403,6131,Credit,38590
1404,12329,Credit,5521
1405,2933,Debit,13142
1406,8495,Debit,33300
1407,10517,Credit,26021
1408,9674,Debit,33565
1409,12915,Debit,33279
1410,2568,Credit,14509
1411,5023,Debit,38134
1412,7055,Credit,1734
1413,2372,Debit,20980
1414,9305,Credit,3223
1415,10669,Debit,48336
1416,6202,Credit,28868
1417,14772,Debit,48391
1418,10649,Debit,29868
1419,13725,Credit,45303
1420,1563,Debit,31960
1421,9082,Debit,42951
1422,11826,Debit,15153
1423,14393,Credit,27593
1424,8865,Credit,15827
1425,12089,Debit,17847
1426,5479,Credit,15044
1427,3411,Debit,27652
1428,5392,Credit,37822
1429,9224,Credit,26688
1430,11310,Credit,47513
1431,3554,Debit,7203
1432,6835,Debit,9268
1433,11529,Debit,26327
1434,6930,Credit,4023
1435,6509,Credit,17327
1436,9946,Credit,23615
1437,14135,Debit,25295
1438,10086,Credit,29288
1439,9691,Debit,7119
1440,8093,Debit,16720
1441,6121,Debit,10738
1442,11304,Credit,16596
1443,7284,Debit,40187
1444,9484,Credit,7387
1445,14122,Debit,25744
1446,13708,Credit,7648
1447,7272,Debit,49314
1448,4352,Debit,8938
1449,13653,Debit,26540
1450,5025,Credit,18967
1451,12637,Debit,39473
1452,13615,Credit,10345
1453,10043,Debit,28652
1454,8544,Debit,21945
1455,13234,Credit,23961
1456,8639,Debit,16583
1457,10846,Credit,21529
1458,9709,Credit,14978
1459,13120,Debit,18214
1460,6004,Debit,22654
1461,3023,Credit,11024
1462,11785,Debit,20190
1463,8222,Debit,48823
1464,8084,Credit,34404
1465,5650,Debit,39503
1466,8752,Debit,48788
1467,5024,Credit,18969
1468,4372,Debit,19865
1469,6628,Debit,32455
1470,13011,Debit,19504
1471,8830,Debit,15442
1472,13606,Credit,18164
1473,12328,Debit,49849
1474,10709,Debit,29120
1475,6388,Debit,17027
1476,8792,Debit,47960
1477,1081,Debit,46260
1478,1890,Debit,36193
1479,8671,Credit,42764
1480,12615,Credit,41481
1481,158,Credit,42102
1482,12340,Credit,38464
1483,1811,Credit,17145
1484,3264,Debit,6807
1485,4867,Debit,14031
1486,7823,Credit,32896
1487,8331,Credit,27618
1488,6183,Debit,27110
1489,4027,Credit,38906
1490,9829,Debit,22557
1491,12383,Credit,32845
1492,12275,Debit,16888
1493,13423,Debit,34171
1494,13819,Credit,41861
1495,526,Debit,14424
1496,7229,Credit,19266
1497,12641,Debit,38043
1498,12153,Debit,22297
1499,3681,Debit,27091
1500,7356,Credit,21536
1501,7594,Credit,43960
1502,8707,Debit,1533
1503,3146,Debit,47280
1504,11155,Credit,8432
1505,14318,Credit,7444
1506,9117,Debit,17638
1507,6801,Debit,15572
1508,5046,Debit,7103
1509,9890,Credit,45239
1510,10763,Credit,45871
1511,9720,Credit,48431
1512,3123,Debit,41379
1513,9831,Credit,32348
1514,542,Debit,18794
1515,10422,Credit,23777
1516,6671,Credit,38952
1517,13667,Credit,26947
1518,14525,Credit,46332
1519,1242,Credit,12746
1520,1252,Debit,35782
1521,10320,Debit,44167
1522,10876,Debit,3504
1523,12378,Debit,939
1524,1329,Debit,42136
1525,11458,Credit,30776
1526,2224,Credit,12237
1527,8135,Credit,36207
1528,8774,Credit,33710
1529,3017,Debit,11592
1530,7580,Credit,21783
1531,6241,Credit,40348
1532,8190,Credit,8622
1533,2149,Credit,34076
1534,1905,Debit,3395
1535,12789,Debit,4202
1536,7032,Debit,3727
1537,2835,Credit,9506
1538,14777,Credit,32240
1539,5939,Debit,43581
1540,12293,Credit,22475
1541,5838,Debit,26409
1542,2985,Debit,23038
1543,7784,Credit,40640
1544,5788,Credit,46636
1545,11647,Debit,13507
1546,8210,Debit,36832
1547,3880,Credit,24246
1548,8920,Debit,40357
1549,6847,Debit,20291
1550,507,Debit,44950
1551,13561,Debit,48359
1552,3259,Credit,23173
1553,1175,Debit,29662
1554,10175,Credit,13788
1555,11225,Credit,20468
1556,4435,Credit,25788
1557,8639,Debit,25110
1558,4610,Credit,14140
1559,5048,Credit,49430
1560,11005,Debit,8532
1561,10784,Debit,39303
1562,13066,Debit,42864
1563,9985,Debit,10798
1564,10620,Credit,21353
1565,10628,Debit,43363
1566,6404,Debit,15862
1567,5462,Debit,10859
1568,7096,Credit,44486
1569,14396,Credit,19244
1570,10015,Credit,13003
1571,1135,Credit,23684
1572,4525,Debit,31994
1573,7931,Credit,47082
1574,4000,Debit,27152
1575,3532,Debit,19676
1576,6230,Credit,22753
1577,5309,Credit,4769
1578,7519,Debit,5354
1579,5179,Credit,15735
1580,13010,Credit,46854
1581,6605,Credit,37831
1582,837,Credit,28677
1583,8686,Credit,49665
1584,6479,Debit,21315
1585,5431,Credit,13377
1586,14263,Credit,28902
1587,7849,Credit,31464
1588,10638,Debit,28453
1589,3771,Debit,39095
1590,1773,Credit,8844
1591,13852,Credit,46819
1592,442,Credit,8910
1593,7382,Debit,28656
1594,5171,Credit,40192
1595,9189,Credit,13098
1596,7773,Debit,20744
1597,7392,Debit,14471
1598,1893,Credit,41595
1599,4903,Debit,1915
1600,9080,Credit,48934
1601,8576,Credit,21533
1602,4744,Credit,22994
1603,7049,Debit,48801
1604,9757,Debit,47368
1605,13034,Debit,48338
1606,4717,Debit,40752
1607,9866,Credit,23098
1608,2619,Debit,2659
1609,4788,Credit,38928
1610,11494,Debit,34274
1611,3586,Credit,25477
1612,6901,Debit,11813
1613,12714,Credit,12055
1614,11118,Credit,15876
1615,3629,Debit,41065
1616,11667,Debit,40690
1617,10568,Credit,9739
1618,12589,Credit,8187
1619,366,Credit,33974
1620,10043,Debit,34508
1621,10198,Debit,28508
1622,10641,Debit,39812
1623,12072,Credit,47537
1624,1667,Debit,22750
1625,2148,Debit,41666
1626,807,Credit,27498
1627,5100,Credit,41441
1628,7386,Credit,11518
1629,11493,Credit,16227
1630,8644,Debit,21143
1631,11345,Debit,15721
1632,8012,Credit,42215
1633,13441,Credit,26923
1634,12958,Debit,16457
1635,1340,Credit,49120
1636,2120,Debit,2959
1637,1051,Credit,44429
1638,6486,Debit,37569
1639,5116,Credit,13737
1640,11443,Credit,27083
1641,11314,Debit,15526
1642,7926,Credit,47064
1643,7592,Credit,11704
1644,10105,Debit,7121
1645,7927,Debit,25502
1646,14551,Debit,1064
1647,14434,Debit,36425
1648,965,Credit,27572
1649,13643,Credit,5102
1650,6840,Debit,17396
1651,7853,Debit,15480
1652,342,Debit,2519
1653,6662,Debit,25197
1654,2745,Debit,30601
1655,4822,Credit,14400
1656,4103,Debit,24936
1657,12243,Debit,10809
1658,11497,Credit,43977
1659,9207,Credit,1331
1660,1133,Debit,14732
1661,4778,Debit,12430
1662,1212,Credit,48961
1663,9971,Credit,12497
1664,3387,Debit,30067
1665,7857,Debit,32822
1666,14356,Debit,8647
1667,11113,Debit,8887
1668,363,Debit,33990
1669,3851,Debit,17715
1670,10010,Debit,9603
1671,12427,Credit,22808
1672,9494,Credit,7264
1673,7749,Credit,7275
1674,6240,Debit,2460
1675,11947,Debit,7277
1676,13295,Debit,22521
1677,11637,Credit,39576
1678,8784,Debit,28125
1679,10362,Debit,16344
1680,1968,Debit,36558
1681,9064,Credit,36601
1682,1433,Debit,38548
1683,2074,Credit,25786
1684,9018,Credit,34376
1685,3944,Credit,24147
1686,14674,Debit,26596
1687,3314,Credit,42709
1688,533,Debit,26297
1689,6207,Debit,22761
1690,7223,Credit,5130
1691,7850,Debit,38803
1692,6493,Debit,36238
1693,2709,Debit,12635
1694,12469,Debit,7039
1695,7140,Credit,28896
1696,10720,Debit,12326
1697,14392,Debit,26527
1698,3331,Credit,17898
1699,924,Credit,47977
1700,10753,Debit,29277
1701,1754,Credit,1705
1702,11145,Debit,24265
1703,10112,Credit,37612
1704,11829,Debit,1817
1705,8063,Credit,25117
1706,7132,Debit,27178
1707,3822,Debit,44487
1708,1238,Credit,33964
1709,1167,Credit,15399
1710,3997,Credit,6864
1711,13748,Debit,22088
1712,8487,Debit,45466
1713,9949,Credit,2313
1714,8876,Debit,9593
1715,10142,Credit,31403
1716,1356,Credit,29516
1717,12200,Credit,43971
1718,5570,Credit,43826
1719,646,Credit,6409
1720,3231,Debit,24976
1721,14923,Debit,24039
1722,12518,Credit,35937
1723,12235,Credit,36056
1724,5523,Credit,16023
1725,8181,Credit,15265
1726,13435,Debit,44771
1727,12021,Credit,3749
1728,5568,Debit,38200
1729,478,Credit,25655
1730,8076,Debit,16826
1731,10753,Credit,49963
1732,3493,Debit,16492
1733,7953,Credit,24411
1734,2027,Debit,49177
1735,12215,Debit,18933
1736,12175,Debit,23041
1737,4442,Credit,44739
1738,9791,Debit,13285
1739,12742,Debit,40867
1740,8746,Debit,30221
1741,12274,Debit,47777
1742,9979,Credit,25384
1743,13835,Credit,35464
1744,6832,Debit,12132
1745,467,Credit,12929
1746,12889,Credit,10588
1747,4023,Debit,35249
1748,9695,Debit,40371
1749,9695,Credit,7364
1750,14125,Credit,29999
1751,13997,Debit,39505
1752,12521,Credit,14551
1753,4740,Debit,13825
1754,8679,Credit,44862
1755,2840,Debit,22806
1756,13633,Credit,24364
1757,4924,Credit,10020
1758,12513,Debit,14641
1759,11953,Credit,833
1760,9773,Credit,31268
1761,14580,Debit,48851
1762,14962,Debit,22964
1763,3825,Credit,26342
1764,10004,Credit,14204
1765,14150,Debit,47502
1766,4304,Debit,40570
1767,2350,Credit,3095
1768,9793,Debit,22558
1769,11392,Debit,47747
1770,11204,Debit,42574
1771,9708,Credit,12578
1772,5973,Debit,9724
1773,7334,Credit,35048
1774,867,Credit,28155
1775,3660,Credit,25495
1776,4731,Debit,37996
1777,871,Credit,35461
1778,12026,Debit,28181
1779,10144,Credit,41262
1780,11644,Credit,37876
1781,11307,Credit,49277
1782,15059,Credit,34302
1783,5253,Credit,33716
1784,14990,Debit,28523
1785,12754,Debit,32032
1786,5135,Credit,29880
1787,10832,Debit,31889
1788,367,Debit,19777
1789,1820,Debit,1788
1790,893,Credit,15875
1791,6421,Credit,28756
1792,435,Credit,23002
1793,2197,Debit,40534
1794,3062,Debit,48248
1795,346,Credit,37341
1796,14603,Credit,9136
1797,14925,Debit,980
1798,2540,Credit,12429
1799,10629,Credit,1595
1800,9772,Credit,46800
1801,8569,Credit,22009
1802,8435,Credit,40102
1803,14813,Debit,33278
1804,10666,Credit,45791
1805,14824,Credit,21191
1806,9054,Credit,31709
1807,14161,Credit,6048
1808,1689,Credit,1784
1809,212,Credit,46928
1810,3265,Credit,35368
1811,14243,Credit,33140
1812,1834,Credit,31737
1813,818,Credit,32850
1814,8771,Debit,13780
1815,11959,Debit,43281
1816,7595,Debit,26995
1817,2559,Debit,37155
1818,5535,Credit,6855
1819,3355,Debit,26187
1820,15065,Debit,4013
1821,2817,Debit,32501
1822,5779,Debit,38352
1823,6626,Credit,43406
1824,5078,Debit,32171
1825,6358,Credit,1909
1826,12931,Credit,32660
1827,1551,Debit,39117
1828,4416,Credit,14071
1829,11264,Debit,26394
1830,3475,Debit,30234
1831,1999,Credit,34780
1832,5298,Credit,11765
1833,12351,Credit,46595
1834,10582,Credit,26068
1835,5253,Credit,22922
1836,14631,Debit,32702
1837,8619,Credit,32449
1838,14048,Credit,46865
1839,3244,Debit,24192
1840,10999,Debit,43879
1841,10266,Debit,35478
1842,12269,Debit,14799
1843,14395,Debit,6229
1844,14243,Credit,16258
1845,9973,Debit,2657
1846,6513,Debit,4384
1847,5629,Debit,41973
1848,12342,Credit,5785
1849,11300,Credit,48874
1850,11368,Credit,12525
1851,5091,Credit,35525
1852,4188,Debit,29135
1853,3774,Credit,16503
1854,518,Credit,23490
1855,3144,Debit,22753
1856,10717,Credit,32591
1857,3247,Debit,3350
1858,6390,Debit,21809
1859,4104,Credit,37038
1860,13357,Debit,7683
1861,14456,Debit,45520
1862,6191,Credit,29925
1863,6183,Debit,6440
1864,7633,Credit,10122
1865,4629,Debit,32455
1866,1576,Debit,19170
1867,6673,Debit,22784
1868,11603,Debit,2056
1869,13374,Debit,31132
1870,5932,Credit,22143
1871,8444,Credit,36909
1872,8600,Debit,20773
1873,7956,Credit,20045
1874,1235,Debit,27825
1875,9013,Debit,37525
1876,11441,Credit,7058
1877,12330,Debit,47262
1878,13106,Debit,42242
1879,14739,Debit,22773
1880,6951,Credit,1113
1881,7786,Debit,36746
1882,2845,Credit,26175
1883,6298,Credit,4528
1884,8157,Debit,1090
1885,12880,Credit,5787
1886,1862,Credit,48578
1887,14614,Debit,44348
1888,2946,Debit,24309
1889,11227,Debit,9602
1890,8175,Debit,25790
1891,7110,Credit,7251
1892,1840,Debit,874
1893,13839,Debit,7370
1894,1691,Credit,18632
1895,14615,Credit,26823
1896,14082,Credit,24683
1897,12530,Credit,26543
1898,12957,Debit,17524
1899,3715,Credit,14990
1900,2274,Debit,33370
1901,10104,Debit,12619
1902,5004,Credit,33059
1903,7873,Credit,37493
1904,14878,Debit,23740
1905,4034,Debit,32081
1906,7074,Credit,34660
1907,3325,Debit,37218
1908,11418,Credit,49074
1909,8341,Credit,37960
1910,14628,Credit,7970
1911,6769,Debit,229
1912,14328,Debit,31121
1913,4616,Credit,14020
1914,8183,Debit,6557
1915,14926,Credit,9867
1916,5819,Credit,44926
1917,14912,Credit,7258
1918,12576,Credit,49337
1919,2849,Debit,45366
1920,10667,Debit,34507
1921,12086,Debit,32731
1922,5979,Credit,47362
1923,14273,Debit,37966
1924,10227,Credit,28166
1925,11119,Credit,37453
1926,10662,Debit,43577
1927,7596,Credit,23355
1928,731,Debit,12953
1929,9851,Credit,9910
1930,12867,Debit,45647
1931,4003,Debit,19351
1932,5832,Debit,42783
1933,8978,Debit,21804
1934,5345,Debit,30103
1935,1706,Credit,8934
1936,4185,Credit,45689
1937,4751,Credit,27572
1938,9577,Debit,9314
1939,399,Credit,2731
1940,8526,Credit,35018
1941,9982,Debit,23476
1942,11274,Credit,12819
1943,3802,Credit,21078
1944,207,Credit,7830
1945,9036,Credit,49157
1946,9966,Credit,37924
1947,11124,Debit,7668
1948,1346,Credit,18364
1949,4719,Credit,648
1950,12255,Debit,15276
1951,7297,Debit,34227
1952,9035,Credit,26404
1953,7500,Debit,19886
1954,3764,Credit,40892
1955,13052,Credit,19769
1956,3521,Debit,2768
1957,8661,Debit,7227
1958,1399,Debit,34698
1959,6721,Credit,25791
1960,12590,Debit,36001
1961,9160,Credit,24275
1962,348,Credit,6724
1963,9722,Debit,19152
1964,7149,Debit,12006
1965,8924,Debit,44383
1966,8260,Credit,44666
1967,2567,Credit,32008
1968,9650,Debit,16008
1969,4298,Credit,4363
1970,13055,Debit,16360
1971,3230,Credit,35381
1972,5388,Credit,32192
1973,12122,Debit,19646
1974,8751,Credit,4554
1975,12306,Credit,4977
1976,3912,Debit,8938
1977,282,Credit,23633
1978,8940,Credit,39664
1979,10437,Credit,31071
1980,4175,Debit,9067
1981,5829,Credit,42297
1982,4189,Debit,22738
1983,14420,Credit,466
1984,5231,Debit,22294
1985,6262,Debit,24960
1986,13221,Debit,5152
1987,5560,Debit,43314
1988,12828,Debit,12292
1989,13814,Credit,12844
1990,12389,Debit,15574
1991,13538,Debit,18640
1992,14988,Credit,23946
1993,3292,Debit,26540
1994,6022,Debit,6909
1995,4924,Debit,24174
1996,11754,Debit,43708
1997,10418,Credit,46850
1998,3871,Debit,12538
1999,7839,Debit,37738
2000,5409,Credit,11955
2001,9790,Credit,36329
2002,14121,Debit,43092
2003,1179,Debit,25214
2004,9829,Debit,47877
2005,5470,Credit,23508
2006,2376,Credit,41620
2007,2341,Debit,23474
2008,8383,Credit,27190
2009,8507,Credit,4387
2010,9326,Credit,34951
2011,10452,Credit,2837
2012,10305,Credit,16986
2013,10543,Debit,37654
2014,7306,Credit,15421
2015,4497,Debit,12106
2016,6112,Debit,44136
2017,9283,Debit,34516
2018,4787,Debit,41322
2019,8692,Credit,24194
2020,2233,Credit,1780
2021,7052,Credit,17024
2022,2891,Credit,33537
2023,10887,Credit,37167
2024,4505,Debit,11249
2025,13289,Credit,12166
2026,3379,Debit,7009
2027,4844,Credit,45779
2028,5318,Debit,19631
2029,11834,Credit,42911
2030,7634,Credit,19564
2031,6520,Debit,34216
2032,12795,Debit,32360
2033,14470,Credit,38048
2034,14248,Debit,19277
2035,927,Credit,15518
2036,3955,Credit,9223
2037,14722,Debit,11764
2038,4934,Debit,5265
2039,4960,Debit,12552
2040,607,Credit,47845
2041,157,Debit,12631
2042,6769,Debit,26304
2043,4510,Credit,19156
2044,2387,Debit,35794
2045,6661,Credit,11731
2046,7616,Debit,47283
2047,13497,Debit,29314
2048,1035,Credit,22097
2049,5514,Debit,2719
2050,13524,Credit,18645
2051,2714,Credit,10257
2052,3500,Debit,1654
2053,11152,Credit,11621
2054,7166,Credit,35879
2055,13027,Debit,28546
2056,1838,Debit,44784
2057,11097,Credit,4374
2058,700,Debit,25443
2059,882,Credit,2344
2060,7113,Credit,17848
2061,12182,Debit,24139
2062,9580,Credit,39760
2063,7914,Credit,23526
2064,4328,Credit,26990
2065,960,Credit,561
2066,14778,Debit,6292
2067,839,Debit,48455
2068,13886,Debit,45025
2069,7906,Debit,28555
2070,11181,Credit,33182
2071,15002,Credit,23118
2072,5809,Credit,22124
2073,14216,Debit,24156
2074,9370,Debit,16351
2075,10730,Debit,26082
2076,5267,Debit,14384
2077,12192,Debit,11729
2078,2159,Credit,45621
2079,12022,Credit,2345
2080,8464,Debit,18291
